GeneSymbol,Educational_Priority_Tier,Record_Count
APC,Tier 4 - Lower educational priority,7522
APC,Tier 3 - Moderate educational priority,5585
APC,Tier 5 - Minimal educational priority,1391
APC,Tier 2 - High educational priority,1313
APC,Tier 1 - Highest educational priority,1058
APOB,Tier 4 - Lower educational priority,3010
APOB,Tier 3 - Moderate educational priority,1860
APOB,Tier 2 - High educational priority,121
APOB,Tier 5 - Minimal educational priority,58
APOB,Tier 1 - Highest educational priority,45
BRCA1,Tier 3 - Moderate educational priority,5992
BRCA1,Tier 4 - Lower educational priority,3239
BRCA1,Tier 1 - Highest educational priority,2828
BRCA1,Tier 5 - Minimal educational priority,2223
BRCA1,Tier 2 - High educational priority,1081
BRCA2,Tier 3 - Moderate educational priority,10497
BRCA2,Tier 4 - Lower educational priority,5484
BRCA2,Tier 1 - Highest educational priority,3650
BRCA2,Tier 2 - High educational priority,1595
BRCA2,Tier 5 - Minimal educational priority,158
CFTR,Tier 4 - Lower educational priority,2808
CFTR,Tier 3 - Moderate educational priority,1970
CFTR,Tier 1 - Highest educational priority,737
CFTR,Tier 2 - High educational priority,396
CFTR,Tier 5 - Minimal educational priority,183
EPCAM,Tier 4 - Lower educational priority,786
EPCAM,Tier 3 - Moderate educational priority,119
EPCAM,Tier 5 - Minimal educational priority,56
EPCAM,Tier 2 - High educational priority,45
EPCAM,Tier 1 - Highest educational priority,8
GJB2,Tier 4 - Lower educational priority,263
GJB2,Tier 3 - Moderate educational priority,197
GJB2,Tier 1 - Highest educational priority,122
GJB2,Tier 2 - High educational priority,61
GJB2,Tier 5 - Minimal educational priority,13
LDLR,Tier 3 - Moderate educational priority,1334
LDLR,Tier 4 - Lower educational priority,1243
LDLR,Tier 2 - High educational priority,971
LDLR,Tier 1 - Highest educational priority,941
LDLR,Tier 5 - Minimal educational priority,69
MLH1,Tier 4 - Lower educational priority,2322
MLH1,Tier 3 - Moderate educational priority,2057
MLH1,Tier 1 - Highest educational priority,1036
MLH1,Tier 2 - High educational priority,690
MLH1,Tier 5 - Minimal educational priority,170
MSH2,Tier 4 - Lower educational priority,3077
MSH2,Tier 3 - Moderate educational priority,2883
MSH2,Tier 1 - Highest educational priority,1071
MSH2,Tier 2 - High educational priority,910
MSH2,Tier 5 - Minimal educational priority,226
MSH6,Tier 3 - Moderate educational priority,4083
MSH6,Tier 4 - Lower educational priority,4075
MSH6,Tier 1 - Highest educational priority,1074
MSH6,Tier 2 - High educational priority,1000
MSH6,Tier 5 - Minimal educational priority,176
MUTYH,Tier 4 - Lower educational priority,2057
MUTYH,Tier 3 - Moderate educational priority,1722
MUTYH,Tier 1 - Highest educational priority,155
MUTYH,Tier 2 - High educational priority,135
MUTYH,Tier 5 - Minimal educational priority,108
MYBPC3,Tier 3 - Moderate educational priority,1892
MYBPC3,Tier 4 - Lower educational priority,1845
MYBPC3,Tier 1 - Highest educational priority,449
MYBPC3,Tier 2 - High educational priority,414
MYBPC3,Tier 5 - Minimal educational priority,58
MYH7,Tier 4 - Lower educational priority,2995
MYH7,Tier 3 - Moderate educational priority,2439
MYH7,Tier 1 - Highest educational priority,148
MYH7,Tier 2 - High educational priority,141
MYH7,Tier 5 - Minimal educational priority,85
PCSK9,Tier 4 - Lower educational priority,803
PCSK9,Tier 3 - Moderate educational priority,699
PCSK9,Tier 5 - Minimal educational priority,25
PCSK9,Tier 1 - Highest educational priority,5
PCSK9,Tier 2 - High educational priority,2
PMS2,Tier 4 - Lower educational priority,2632
PMS2,Tier 3 - Moderate educational priority,2364
PMS2,Tier 1 - Highest educational priority,442
PMS2,Tier 2 - High educational priority,423
PMS2,Tier 5 - Minimal educational priority,138
TNNI3,Tier 4 - Lower educational priority,431
TNNI3,Tier 3 - Moderate educational priority,363
TNNI3,Tier 1 - Highest educational priority,21
TNNI3,Tier 2 - High educational priority,18
TNNI3,Tier 5 - Minimal educational priority,16
TNNT2,Tier 4 - Lower educational priority,642
TNNT2,Tier 3 - Moderate educational priority,433
TNNT2,Tier 5 - Minimal educational priority,36
TNNT2,Tier 1 - Highest educational priority,26
TNNT2,Tier 2 - High educational priority,11
